Phylum;Species;COS_ARMS_1;COS_ARMS_2;COS_BBOX_1;COS_BBOX_2;COS_NAT_1;COS_NAT_2;RIB_ARMS_1;RIB_ARMS_2;RIB_BBOX_1;RIB_BBOX_2;RIB_NAT_1;RIB_NAT_2
Mollusca;Barbatia barbata;0;0;0;0;0;0;1;0;0;0;0;0
Mollusca;Bittium latreillii;0;1;3;3;0;5;6;2;0;1;2;4
Mollusca;Bittium reticulatum;8;23;2;2;2;4;14;8;2;9;0;9
Mollusca;Clanculus corallinus;0;0;0;0;0;0;0;0;1;0;0;0
Mollusca;Columbella rustica;0;0;0;0;0;0;13;0;0;0;0;0
Mollusca;Cyrillia linearis;0;0;1;0;0;0;0;0;0;0;0;0
Mollusca;Episcomitra cornicula;0;0;0;0;0;0;0;0;0;2;0;0
Mollusca;Favorinus branchialis;0;2;2;0;0;0;1;0;4;0;0;1
Mollusca;Haliotis tuberculata;0;0;0;0;0;0;0;0;0;1;0;0
Mollusca;Haminoea hydatis;0;1;0;1;0;0;0;29;0;0;0;0
Mollusca;Hiatella arctica;0;0;0;1;0;0;0;0;1;1;0;0
Mollusca;Homalopoma sanguineum;0;0;0;0;0;0;0;0;0;3;0;1
Mollusca;Limaria hians;2;0;0;0;0;0;1;0;3;14;0;0
Mollusca;Lithophaga lithophaga;0;0;0;0;0;0;1;0;0;0;0;0
Mollusca;Modiolula phaseolina;0;0;0;0;0;0;0;0;0;2;0;0
Mollusca;Musculus costulatus;3;0;0;1;0;0;0;1;3;4;0;1
Mollusca;Mytilus galloprovincialis;0;0;0;0;0;0;0;0;0;1;0;0
Mollusca;Polycera quadrilineata;0;0;0;0;0;0;0;0;1;0;0;0
Mollusca;Pusia ebenus;0;0;0;0;0;14;0;0;0;0;0;0
Mollusca;Pusia tricolor;0;0;1;1;0;0;0;35;0;0;0;0
Mollusca;Retusa truncatula;1;0;5;0;0;1;1;1;1;0;0;1
Mollusca;Rissoa guerinii;0;0;0;0;0;0;0;0;0;1;0;0
Mollusca;Tetrarca tetragona;0;0;1;0;0;0;0;0;0;0;0;0
Mollusca;Tritia incrassata;1;0;1;0;0;0;0;0;0;0;0;0
Platyhelminthes;Planocera ceratommata;6;0;0;0;0;0;0;0;0;0;0;0
Porifera;Aplysina aerophoba;0;0;1;0;0;0;0;0;0;0;0;0
Porifera;Cliona celata;0;0;2;0;0;0;0;0;0;0;0;0
Porifera;Cliona viridis;0;46;1;7;0;0;0;3;0;0;0;0
Porifera;Halichondria panicea;0;0;0;0;0;0;0;0;0;1;0;0
Porifera;Haliclona aquaeductus;0;0;0;0;0;0;0;0;0;2;0;0
Porifera;Haliclona cinerea;0;0;0;0;0;0;0;0;0;0;0;1
Porifera;Halisarca dujardinii;0;0;0;0;6;0;0;0;0;0;0;18
Porifera;Hymeniacidon perlevis;0;0;5;0;0;0;0;0;0;0;0;0
Porifera;Oscarella tuberculata;0;0;0;0;0;0;0;0;0;1;0;19
Porifera;Pione vastifica;0;0;0;0;0;0;0;0;0;6;0;0
Porifera;Sarcotragus spinosulus;0;0;0;0;0;0;0;0;0;0;1;0
Porifera;Stryphnus ponderosus;0;0;0;0;0;0;1;0;0;0;0;0
Porifera;Terpios gelatinosus;0;4;1;0;0;1;12;0;0;0;0;3
Sipuncula;Nephasoma rimicola;0;0;0;1;0;0;0;0;0;0;0;0
